1;3HGRM4850CG600701;135058;K637
2;3HGRM4870CG601967;135096;K360
3;3HGRM4850CG600739;135078;K571
4;3HGRM4870CG602402;135126;K575
5;3HGRM4870CG602319;135106;K256
6;3HGRM4850CG600624;135020;K444
7;3HGRM4850CG600657;135036;K456
8;3HGRM4870CG602369;135114;
9;3HGRM4870CG602372;135117;
10;3HGRM4850CG600742;135079;K493
11;3HGRM4870CG602400;135124;K136
12;3HGRM4850CG600689;135051;K525
13;3HGRM4870CG602336;135113;K345
14;3HGRM4850CG600642;135029;K190
15;3HGRM4850CG600646;135030;K531
16;3HGRM4870CG602461;135141;K402
17;3HGRM4850CG600668;135043;K393
18;3HGRM4850CG600732;135074;L919
19;3HGRM4870CG602386;135120;K222
20;3HGRM4850CG600714;135064;K052
21;3HGRM4850CG600715;135065;K048
22;3HGRM4870CG602371;135116;K215
23;3HGRM4850CG600755;135085;K405
24;3HGRM4850CG600757;135086;K545
25;3HGRM4870CG602426;135134;K929
26;3HGRM4870CG602428;135135;K195
27;3HGRM4870CG602324;135110;L897
28;3HGRM4850CG600634;135025;L993
29;3HGRM4870CG602457;135138;L023
30;3HGRM4850CG600660;135038;K537
31;3HGRM4850CG600662;135039;L944
32;3HGRM4870CG601931;135092;
33;3HGRM4870CG602374;135119;K526
34;3HGRM4850CG600705;135060;K061
35;3HGRM4850CG600749;135082;K051
36;3HGRM4870CG602423;135132;K162
37;3HGRM4850CG600627;135021;K651
38;3HGRM4870CG602421;135131;K168
39;3HGRM4850CG600682;135047;K557
40;3HGRM4870CG601893;135088;K351
41;3HGRM4850CG600721;135069;K471
42;3HGRM4850CG600738;135077;K358
43;3HGRM4870CG601906;135089;K641
44;3HGRM4870CG602029;135102;K572
45;3HGRM4850CG600704;135059;K060
46;3HGRM4870CG602408;135128;K638
47;3HGRM4870CG601959;135094;K362
48;3HGRM4850CG600617;135016;K357
49;3HGRM4850CG600649;135031;K272
50;3HGRM4870CG601914;135090;K652
51;3HGRM4850CG600718;135067;K331
52;3HGRM4850CG600692;135053;L909
53;3HGRM4870CG602370;135115;K398
54;3HGRM4850CG600734;135075;K569
55;3HGRM4870CG602033;135104;K568
56;3HGRM4870CG601963;135095;
57;3HGRM4850CG600619;135017;K478
58;3HGRM4870CG601879;135087;K662
59;3HGRM4850CG600651;135033;K558
60;3HGRM4850CG600655;135034;K455
61;3HGRM4850CG600720;135068;K655
62;3HGRM4870CG602013;135098;K625
63;3HGRM4850CG600696;135054;K564
64;3HGRM4870CG601985;135097;K559
65;3HGRM4850CG600736;135076;K371
66;3HGRM4870CG602398;135122;
67;3HGRM4870CG602320;135107;K615
68;3HGRM4850CG600658;135037;L937
69;3HGRM4870CG602027;135101;K562
70;3HGRM4870CG602405;135127;K123
71;3HGRM4850CG600688;135050;K062
72;3HGRM4870CG602327;135111;L945
73;3HGRM4850CG600636;135026;
74;3HGRM4870CG602458;135139;
75;3HGRM4850CG600664;135040;
76;3HGRM4870CG601942;135093;K933
77;3HGRM4850CG600726;135073;K573
78;3HGRM4850CG600717;135066;K045
79;3HGRM4850CG600630;135022;L985
80;3HGRM4870CG601916;135091;K654
81;3HGRM4850CG600722;135070;K649
82;3HGRM4850CG600650;135032;K366
83;3HGRM4870CG602058;135105;K388
84;3HGRM4850CG600641;135028;K611
85;3HGRM4870CG602459;135140;K171
86;3HGRM4850CG600666;135042;K604
87;3HGRM4870CG602468;135143;K141
88;3HGRM4850CG600709;135062;K147
89;3HGRM4850CG600713;135063;K599
90;3HGRM4850CG600754;135084;K096
91;3HGRM4870CG602424;135133;K249
92;3HGRM4870CG602321;135108;K642
93;3HGRM4870CG602418;135129;K172
94;3HGRM4870CG602331;135112;K40
95;3HGRM4850CG600638;135027;K603
96;3HGRM4850CG600665;135041;K551
97;3HGRM4870CG602373;135118;K403
98;3HGRM4850CG600708;135061;K057
99;3HGRM4850CG600751;135083;L986
100;3HGRM4850CG600676;135045;K344
101;3HGRM4850CG600699;135056;K524
102;3HGRM4870CG602399;135123;K220
103;3HGRM4850CG600684;135049;K645
104;3HGRM4870CG602456;135137;K924
105;3HGRM4850CG600724;135072;K522
106;3HGRM4850CG600680;135046;K364
107;3HGRM4850CG600622;135019;K657
108;3HGRM4850CG600632;135024;L963
109;3HGRM4850CG600656;135035;K445
110;3HGRM4870CG602022;135100;K363
111;3HGRM4850CG600700;135057;L907
112;3HGRM4870CG602401;135125;K533
113;3HGRM4850CG600683;135048;K475
114;3HGRM4870CG602031;135103;K570
115;3HGRM4850CG600744;135080;K457
116;3HGRM4870CG602419;135130;K156
117;3HGRM4870CG602323;135109;K584
118;3HGRM4850CG600631;135023;K546
119;3HGRM4870CG602452;135136;K104
120;3HGRM4850CG600723;135071;K659
121;3HGRM4850CG600745;135081;K134
122;3HGRM4850CG600675;135044;K338
123;3HGRM4850CG600621;135018;K473
124;3HGRM4870CG602466;135142;K394
125;3HGRM4870CG602014;135099;K560
126;3HGRM4850CG600697;135055;K359
127;3HGRM4850CG600690;135052;K617
128;3HGRM4870CG602388;135121;K633
129;3HGRM4850CG600625;135148;K505
130;3HGRM4850CG600639;135155;K196
131;3HGRM4850CG600648;135161;K432
